127.0.0.1 - - [27/Dec/2022:18:15:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:25 +0900] "GET /vote/ HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:25 +0900] "GET /vote/style2.css HTTP/1.1" 200 1296
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:27 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:27 +0900] "GET /vote/script2.js HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:29 +0900] "GET /vote/search HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:34 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:40 +0900] "GET /vote/result HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:54 +0900] "GET /vote/rank HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:15:56 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:16:01 +0900] "GET /vote/result HTTP/1.1" 200 5944
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:16:04 +0900] "GET /vote/search HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:16:06 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:17:05 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:17:11 +0900] "GET /vote/vote HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [27/Dec/2022:18:30:03 +0900] "GET /vote/result HTTP/1.1" 200 5944
